WARNING  mypy.lib.stock.backtrader.backtrader_helper:log.py:113 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-22, ---> [卖出] 订单编号: 75, 股票名称: , 价格: 41.03, 成交量: -1000.00, 交易金额: 40394.04, 手续费: 41.03
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-22, ----- 本次交易净利: 631.86, 毛利: 570.64
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-22, 收盘价: 40.78, 涨跌幅: -0.63%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-23, 收盘价: 42.42, 涨跌幅: 4.02%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-26, <--- [买入] 订单编号: 76, 股票名称: , 价格: 42.53, 成交量: 1000.00, 交易金额: 42534.25, 手续费: 21.27
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-26, 收盘价: 42.42, 涨跌幅: 0.00%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-27, ---> [卖出] 订单编号: 77, 股票名称: , 价格: 42.35, 成交量: -1000.00, 交易金额: 42534.25, 手续费: 42.35
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-27, ----- 本次交易净利: -188.49, 毛利: -252.10
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-27, 收盘价: 42.22, 涨跌幅: -0.47%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-28, 收盘价: 42.26, 涨跌幅: 0.09%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-29, 收盘价: 41.69, 涨跌幅: -1.35%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-30, 收盘价: 43.10, 涨跌幅: 3.38%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-02, <--- [买入] 订单编号: 78, 股票名称: , 价格: 42.95, 成交量: 1000.00, 交易金额: 42954.29, 手续费: 21.48
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-02, 收盘价: 42.52, 涨跌幅: -1.35%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-03, ---> [卖出] 订单编号: 79, 股票名称: , 价格: 42.68, 成交量: -1000.00, 交易金额: 42954.29, 手续费: 42.68
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-03, ----- 本次交易净利: -278.56, 毛利: -342.72
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-03, 收盘价: 42.28, 涨跌幅: -0.56%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-04, 收盘价: 41.71, 涨跌幅: -1.35%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-05, 收盘价: 42.49, 涨跌幅: 1.87%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-06, 收盘价: 42.32, 涨跌幅: -0.40%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-09, 收盘价: 41.75, 涨跌幅: -1.35%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-10, 收盘价: 41.73, 涨跌幅: -0.05%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-11, 收盘价: 41.59, 涨跌幅: -0.34%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-12, 收盘价: 41.67, 涨跌幅: 0.19%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-13, 收盘价: 41.96, 涨跌幅: 0.70%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-18, <--- [买入] 订单编号: 80, 股票名称: , 价格: 42.07, 成交量: 1000.00, 交易金额: 42074.21, 手续费: 21.04
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-18, 收盘价: 42.77, 涨跌幅: 1.93%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-19, 收盘价: 43.10, 涨跌幅: 0.77%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-20, 收盘价: 43.22, 涨跌幅: 0.28%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-23, 收盘价: 43.16, 涨跌幅: -0.14%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-24, 收盘价: 45.57, 涨跌幅: 5.58%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-25, ---> [卖出] 订单编号: 81, 股票名称: , 价格: 46.67, 成交量: -1000.00, 交易金额: 42074.21, 手续费: 46.67
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-25, ----- 本次交易净利: 4591.13, 毛利: 4523.42
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-25, 收盘价: 46.43, 涨跌幅: 1.89%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-26, <--- [买入] 订单编号: 82, 股票名称: , 价格: 46.66, 成交量: 1000.00, 交易金额: 46664.67, 手续费: 23.33
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-26, 收盘价: 49.49, 涨跌幅: 6.59%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-27, ---> [卖出] 订单编号: 83, 股票名称: , 价格: 50.96, 成交量: -1000.00, 交易金额: 46664.67, 手续费: 50.96
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-27, ----- 本次交易净利: 4300.24, 毛利: 4225.94
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-27, 收盘价: 50.97, 涨跌幅: 2.99%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-09-30, 收盘价: 56.16, 涨跌幅: 10.18%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-08, <--- [买入] 订单编号: 84, 股票名称: , 价格: 61.87, 成交量: 1000.00, 交易金额: 61870.00, 手续费: 30.94
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-08, 收盘价: 60.80, 涨跌幅: 8.26%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-09, ---> [卖出] 订单编号: 85, 股票名称: , 价格: 59.06, 成交量: -1000.00, 交易金额: 61870.00, 手续费: 59.06
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-09, ----- 本次交易净利: -2805.91, 毛利: -2895.91
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-09, 收盘价: 54.77, 涨跌幅: -9.92%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-10, 收盘价: 57.57, 涨跌幅: 5.11%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-11, 收盘价: 56.61, 涨跌幅: -1.67%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-14, 收盘价: 57.74, 涨跌幅: 2.00%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-15, 收盘价: 56.26, 涨跌幅: -2.56%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-16, 收盘价: 56.45, 涨跌幅: 0.34%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-17, 收盘价: 56.07, 涨跌幅: -0.67%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-18, 收盘价: 57.18, 涨跌幅: 1.98%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-10-21, 收盘价: 56.90, 涨跌幅: -0.49%
